8949429,8,-1,8949034,0,0,0
8949496,2,0,8949,0,0,0
8949559,9,-1,8949034,0,1,0
8949626,12,-1,8949034,0,0,0
9049035,4,-1,9049034,0,0,0
9049136,5,-1,9049034,240572,240468,0
9049220,6,-1,9049034,1,0,0
9049332,7,-1,9049034,240572,240468,0
9049429,8,-1,9049034,0,0,0
9049496,2,0,9049,0,0,0
9049559,9,-1,9049034,0,1,0
9049626,12,-1,9049034,0,0,0
9149035,4,-1,9149034,0,0,0
9149136,5,-1,9149034,240572,240468,0
9149220,6,-1,9149034,1,0,0
9149332,7,-1,9149034,240572,240468,0
9149429,8,-1,9149034,0,0,0
9149496,9,-1,9149034,1,0,0
9149581,11,-1,9149034,1,1,0
9149649,12,-1,9149034,0,0,0
9149733,13,-1,9149034,1,0,0
9149814,16,0,9149034,9749034,10749034,1599221
9149917,17,0,9149034,0,0,0
9149989,20,0,9149034,240512,240468,0
9249035,4,-1,9249034,0,0,0
9249136,5,-1,9249034,240512,240468,0
9249220,6,-1,9249034,1,0,0
9249334,7,-1,9249034,240512,240468,0
9249432,8,-1,9249034,0,0,0
9249500,2,0,9249,0,0,0
9249562,9,-1,9249034,0,1,0
9249630,12,-1,9249034,0,0,0
9349035,4,-1,9349034,0,0,0
9349136,5,-1,9349034,240512,240468,0
9349228,6,-1,9349034,1,0,0
9349331,7,-1,9349034,240520,240468,0
9349428,8,-1,9349034,0,0,0
9349496,2,0,9349,0,0,0
9349558,9,-1,9349034,0,1,0
9349626,12,-1,9349034,0,0,0
9449035,4,-1,9449034,0,0,0
9449136,5,-1,9449034,240520,240468,0
9449216,6,-1,9449034,1,0,0
9449319,7,-1,9449034,240512,240468,0
9449415,8,-1,9449034,0,0,0
9449483,2,0,9449,0,0,0
9449545,9,-1,9449034,0,1,0
9449613,12,-1,9449034,0,0,0
9549035,4,-1,9549034,0,0,0
9549136,5,-1,9549034,240512,240468,0
9549216,6,-1,9549034,1,0,0
9549319,7,-1,9549034,240512,240468,0
9549418,8,-1,9549034,0,0,0
9549486,2,0,9549,0,0,0
9549548,9,-1,9549034,0,1,0
9549616,12,-1,9549034,0,0,0
9649035,4,-1,9649034,0,0,0
9649136,5,-1,9649034,240512,240468,0
9649216,6,-1,9649034,1,0,0
9649320,7,-1,9649034,240512,240468,0
9649419,8,-1,9649034,0,0,0
9649487,2,0,9649,0,0,0
9649549,9,-1,9649034,0,1,0
9649617,12,-1,9649034,0,0,0
9749035,4,-1,9749034,0,0,0
9749148,5,-1,9749034,240512,240468,0
9749227,6,-1,9749034,1,0,0
9749332,7,-1,9749034,240512,240468,0
9749430,8,-1,9749034,0,0,0
9749498,2,0,9749,0,0,0
9749560,9,-1,9749034,0,1,0
9749628,12,-1,9749034,0,0,0
9749746,15,0,9149034,0,0,0
9749891,18,0,9149034,0,0,0
9753532,19,0,9149034,0,0,0
9754095,24,0,9149034,0,0,0
9754167,1,0,9149034,84696351,0,0
